=========================================
Starting Admin Frontend
=========================================

Starting Admin Frontend on http://localhost:4000

Admin Login: http://localhost:4000/login

Press Ctrl+C to stop


> frontend-admin@0.1.0 dev
> next dev -p 4000

   ▲ Next.js 16.0.6 (Turbopack)
   - Local:         http://localhost:4000
   - Network:       http://192.168.0.106:4000
   - Environments: .env.local

 ✓ Starting...
 ✓ Ready in 717ms
 GET /sync 200 in 1320ms (compile: 1254ms, render: 66ms)
 GET /tables 200 in 368ms (compile: 334ms, render: 35ms)
 GET /tables 200 in 58ms (compile: 15ms, render: 44ms)
 GET /tables 200 in 68ms (compile: 15ms, render: 53ms)
 GET /tables 200 in 63ms (compile: 14ms, render: 48ms)
 GET /tables 200 in 77ms (compile: 11ms, render: 66ms)
 ✓ Compiled in 236ms
 ✓ Compiled in 97ms
 GET /sync 200 in 327ms (compile: 13ms, render: 314ms)
 GET /tables 200 in 282ms (compile: 219ms, render: 63ms)
 GET /tables 200 in 111ms (compile: 18ms, render: 93ms)
 GET / 200 in 294ms (compile: 266ms, render: 28ms)
 GET /dashboard 200 in 322ms (compile: 300ms, render: 22ms)
 GET /stocks 200 in 178ms (compile: 171ms, render: 7ms)
 GET /users 200 in 255ms (compile: 245ms, render: 10ms)
 GET /stocks 200 in 22ms (compile: 4ms, render: 18ms)
 GET /stocks 200 in 111ms (compile: 52ms, render: 59ms)
 GET /tables 200 in 53ms (compile: 13ms, render: 40ms)
 GET /stocks 200 in 26ms (compile: 4ms, render: 21ms)
 GET /tables 200 in 15ms (compile: 1193µs, render: 13ms)
 GET /stocks 200 in 24ms (compile: 3ms, render: 21ms)
 GET /tables 200 in 15ms (compile: 1435µs, render: 14ms)
 GET /stocks 200 in 23ms (compile: 2ms, render: 20ms)
 GET /tables 200 in 16ms (compile: 1233µs, render: 15ms)
 GET /stocks 200 in 19ms (compile: 1683µs, render: 17ms)
 GET /tables 200 in 19ms (compile: 12ms, render: 7ms)
 GET /stocks 200 in 18ms (compile: 1237µs, render: 16ms)
 GET /tables 200 in 18ms (compile: 10ms, render: 8ms)
 GET /stocks 200 in 19ms (compile: 1321µs, render: 18ms)
 GET /tables 200 in 19ms (compile: 12ms, render: 7ms)
 GET /stocks 200 in 15ms (compile: 1024µs, render: 14ms)
 GET /tables 200 in 7ms (compile: 1004µs, render: 6ms)
 GET /stocks 200 in 19ms (compile: 2ms, render: 16ms)
 GET /tables 200 in 12ms (compile: 1002µs, render: 11ms)
 GET /tables 200 in 26ms (compile: 2ms, render: 24ms)
 GET /stocks 200 in 27ms (compile: 10ms, render: 16ms)
 GET /stocks 200 in 30ms (compile: 3ms, render: 27ms)
 GET /tables 200 in 52ms (compile: 14ms, render: 39ms)
 GET /tables 200 in 38ms (compile: 6ms, render: 32ms)
 GET /stocks 200 in 35ms (compile: 18ms, render: 17ms)
 GET /tables 200 in 11ms (compile: 1364µs, render: 9ms)
 GET /stocks 200 in 28ms (compile: 2ms, render: 26ms)
 GET /tables 200 in 19ms (compile: 9ms, render: 9ms)
 GET /stocks 200 in 20ms (compile: 1339µs, render: 18ms)
 GET /stocks 200 in 17ms (compile: 1192µs, render: 16ms)
 GET /tables 200 in 18ms (compile: 7ms, render: 10ms)
 GET /tables 200 in 16ms (compile: 1149µs, render: 14ms)
 GET /stocks 200 in 16ms (compile: 9ms, render: 7ms)
 GET /tables 200 in 22ms (compile: 10ms, render: 13ms)
 GET /stocks 200 in 24ms (compile: 1179µs, render: 23ms)
 GET /tables 200 in 31ms (compile: 1397µs, render: 30ms)
 GET /stocks 200 in 32ms (compile: 9ms, render: 23ms)
 GET /stocks 200 in 26ms (compile: 3ms, render: 24ms)
 GET /tables 200 in 26ms (compile: 15ms, render: 11ms)
 GET /stocks 200 in 66ms (compile: 1134µs, render: 65ms)
 GET /tables 200 in 66ms (compile: 11ms, render: 56ms)
 GET /stocks 200 in 37ms (compile: 1716µs, render: 36ms)
 GET /tables 200 in 12ms (compile: 1227µs, render: 10ms)
 GET /stocks 200 in 18ms (compile: 1775µs, render: 16ms)
 GET /tables 200 in 8ms (compile: 1052µs, render: 7ms)
 GET /stocks 200 in 20ms (compile: 3ms, render: 17ms)
 GET /tables 200 in 20ms (compile: 10ms, render: 11ms)
 GET /tables 200 in 16ms (compile: 8ms, render: 8ms)
 GET /stocks 200 in 17ms (compile: 1088µs, render: 16ms)
 GET /stocks 200 in 15ms (compile: 989µs, render: 14ms)
 GET /tables 200 in 15ms (compile: 8ms, render: 7ms)
 GET /stocks 200 in 17ms (compile: 1220µs, render: 16ms)
 GET /tables 200 in 17ms (compile: 10ms, render: 7ms)
 GET /stocks 200 in 15ms (compile: 972µs, render: 14ms)
 GET /tables 200 in 15ms (compile: 8ms, render: 6ms)
 GET /stocks 200 in 18ms (compile: 1002µs, render: 17ms)
 GET /tables 200 in 18ms (compile: 11ms, render: 7ms)
 GET /stocks 200 in 15ms (compile: 995µs, render: 14ms)
 GET /tables 200 in 17ms (compile: 7ms, render: 10ms)
 GET /tables 200 in 17ms (compile: 1616µs, render: 15ms)
 GET /stocks 200 in 17ms (compile: 8ms, render: 9ms)
 GET /stocks 200 in 20ms (compile: 4ms, render: 17ms)
 GET /tables 200 in 18ms (compile: 10ms, render: 8ms)
 GET /stocks 200 in 16ms (compile: 1008µs, render: 15ms)
 GET /tables 200 in 17ms (compile: 9ms, render: 8ms)
 GET /stocks 200 in 21ms (compile: 1283µs, render: 20ms)
 GET /tables 200 in 22ms (compile: 9ms, render: 12ms)
 GET /stocks 200 in 15ms (compile: 991µs, render: 14ms)
 GET /tables 200 in 16ms (compile: 7ms, render: 9ms)
 ✓ Compiled in 34ms
 GET /stock-categories 200 in 207ms (compile: 194ms, render: 13ms)
 GET /stock-categories 200 in 13ms (compile: 3ms, render: 11ms)
 GET /stock-categories 200 in 20ms (compile: 4ms, render: 16ms)
 GET /dashboard 200 in 132ms (compile: 62ms, render: 70ms)
 ✓ Compiled in 155ms
 GET /stock-categories 200 in 33ms (compile: 12ms, render: 22ms)
 GET /dashboard 200 in 54ms (compile: 6ms, render: 48ms)
 GET /users 200 in 44ms (compile: 30ms, render: 15ms)
 GET /dashboard 200 in 12ms (compile: 3ms, render: 10ms)
 GET /stock-categories 200 in 23ms (compile: 6ms, render: 17ms)
 ✓ Compiled in 183ms
 GET /stock-categories 200 in 171ms (compile: 83ms, render: 87ms)
 GET /dashboard 200 in 21ms (compile: 2ms, render: 19ms)
 GET /stock-categories 200 in 13ms (compile: 3ms, render: 11ms)
 GET /dashboard 200 in 30ms (compile: 5ms, render: 25ms)
 GET /stocks 200 in 93ms (compile: 84ms, render: 9ms)
 GET /dashboard 200 in 39ms (compile: 12ms, render: 27ms)
 GET /tables 200 in 96ms (compile: 10ms, render: 86ms)
 GET /tables 200 in 45ms (compile: 4ms, render: 41ms)
 GET /tables 200 in 48ms (compile: 6ms, render: 42ms)
 GET /debug-logs 200 in 258ms (compile: 241ms, render: 16ms)
 GET /debug-logs 200 in 57ms (compile: 10ms, render: 47ms)
 GET /stocks 200 in 24ms (compile: 6ms, render: 18ms)
 GET /stocks 200 in 26ms (compile: 6ms, render: 20ms)
 GET /dashboard 200 in 23ms (compile: 5ms, render: 18ms)
 GET /sync 200 in 42ms (compile: 27ms, render: 16ms)
 GET /sync 200 in 19ms (compile: 3ms, render: 16ms)
 GET /config 200 in 235ms (compile: 225ms, render: 10ms)
 ✓ Compiled in 82ms
 GET / 200 in 64ms (compile: 31ms, render: 33ms)
 GET /dashboard 200 in 18ms (compile: 4ms, render: 14ms)
 GET /dashboard 200 in 211ms (compile: 104ms, render: 107ms)
 GET /config 200 in 152ms (compile: 137ms, render: 15ms)
 GET /dashboard 200 in 17ms (compile: 1199µs, render: 15ms)
 GET /config 200 in 17ms (compile: 9ms, render: 7ms)
 GET /dashboard 200 in 20ms (compile: 1327µs, render: 19ms)
 GET /config 200 in 20ms (compile: 12ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1030µs, render: 15ms)
 GET /dashboard 200 in 16ms (compile: 8ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1109µs, render: 15ms)
 GET /dashboard 200 in 16ms (compile: 9ms, render: 7ms)
 GET /dashboard 200 in 19ms (compile: 1128µs, render: 18ms)
 GET /config 200 in 19ms (compile: 9ms, render: 10ms)
 GET /config 200 in 24ms (compile: 1266µs, render: 23ms)
 GET /dashboard 200 in 24ms (compile: 12ms, render: 12ms)
 GET /dashboard 200 in 23ms (compile: 3ms, render: 20ms)
 GET /config 200 in 23ms (compile: 15ms, render: 9ms)
 GET /config 200 in 27ms (compile: 3ms, render: 24ms)
 GET /dashboard 200 in 29ms (compile: 13ms, render: 16ms)
