INFO 2025-12-15 00:09:16,079 autoreload Watching for file changes with StatReloader
INFO 2025-12-15 00:09:37,477 basehttp "OPTIONS /api/v1/admin-panel/auth/profile/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:37,477 basehttp "OPTIONS /api/v1/admin-panel/config/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:39,308 basehttp "GET /api/v1/admin-panel/auth/profile/ HTTP/1.1" 200 301
INFO 2025-12-15 00:09:39,557 basehttp "GET /api/v1/admin-panel/config/ HTTP/1.1" 200 1160
INFO 2025-12-15 00:09:40,923 basehttp "OPTIONS /api/v1/admin-panel/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:41,091 basehttp "GET /api/v1/admin-panel/auth/profile/ HTTP/1.1" 200 301
INFO 2025-12-15 00:09:42,137 basehttp "GET /api/v1/admin-panel/dashboard/stats/ HTTP/1.1" 200 167
INFO 2025-12-15 00:09:42,912 basehttp "OPTIONS /api/v1/sectors/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:42,912 basehttp "OPTIONS /api/v1/stocks/categories/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:42,913 basehttp "OPTIONS /api/v1/stocks/?page=1&sort_by=symbol&order=asc HTTP/1.1" 200 0
INFO 2025-12-15 00:09:43,578 basehttp "GET /api/v1/stocks/categories/ HTTP/1.1" 200 376
INFO 2025-12-15 00:09:44,981 basehttp "GET /api/v1/stocks/?page=1&sort_by=symbol&order=asc HTTP/1.1" 200 1067
INFO 2025-12-15 00:09:45,164 basehttp "GET /api/v1/sectors/ HTTP/1.1" 200 559
INFO 2025-12-15 00:09:52,680 basehttp "OPTIONS /api/v1/auth/profile HTTP/1.1" 200 0
INFO 2025-12-15 00:09:52,694 basehttp "OPTIONS /api/v1/auth/profile HTTP/1.1" 200 0
INFO 2025-12-15 00:09:54,501 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:09:55,329 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:09:56,200 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:09:56,204 basehttp "OPTIONS /api/v1/notifications?limit=5 HTTP/1.1" 200 0
INFO 2025-12-15 00:09:56,212 basehttp "OPTIONS /api/v1/notifications/?limit=5 HTTP/1.1" 200 0
INFO 2025-12-15 00:09:57,102 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:09:58,156 basehttp "GET /api/v1/notifications/?limit=5 HTTP/1.1" 200 97
INFO 2025-12-15 00:09:58,157 basehttp - Broken pipe from ('127.0.0.1', 57439)
INFO 2025-12-15 00:09:58,344 basehttp - Broken pipe from ('127.0.0.1', 57430)
INFO 2025-12-15 00:09:58,396 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:09:59,022 basehttp "OPTIONS /api/v1/sectors/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:59,023 basehttp "OPTIONS /api/v1/stocks/categories/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:59,027 basehttp "OPTIONS /api/v1/sectors/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:59,027 basehttp "OPTIONS /api/v1/stocks/categories/ HTTP/1.1" 200 0
INFO 2025-12-15 00:09:59,224 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:09:59,312 basehttp "OPTIONS /api/v1/stocks/prices/daily/?start_date=2025-11-14&end_date=2025-12-14 HTTP/1.1" 200 0
INFO 2025-12-15 00:10:00,875 basehttp "GET /api/v1/notifications/?limit=5 HTTP/1.1" 200 97
INFO 2025-12-15 00:10:01,503 basehttp "GET /api/v1/sectors/ HTTP/1.1" 200 559
INFO 2025-12-15 00:10:01,557 basehttp "GET /api/v1/stocks/categories/ HTTP/1.1" 200 376
INFO 2025-12-15 00:10:02,372 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:10:02,554 basehttp "GET /api/v1/sectors/ HTTP/1.1" 200 559
INFO 2025-12-15 00:10:02,561 basehttp "GET /api/v1/stocks/categories/ HTTP/1.1" 200 376
INFO 2025-12-15 00:10:03,228 basehttp "GET /api/v1/auth/profile HTTP/1.1" 200 412
INFO 2025-12-15 00:10:03,441 basehttp "GET /api/v1/notifications/?limit=5 HTTP/1.1" 200 97
INFO 2025-12-15 00:10:05,857 basehttp "GET /api/v1/stocks/prices/daily/?start_date=2025-11-14&end_date=2025-12-14 HTTP/1.1" 200 8263
